Feature,MDI Importance
cont__MMSE,0.3355141440416609
cont__nWBV,0.16564392855702104
cont__Age,0.13533878145522676
cont__ASF,0.10160557729286768
cont__eTIV,0.09529828469024475
ord__SES,0.08155729964292133
ord__Educ,0.051099506321115706
cat__M/F_M,0.018061213636783452
cat__M/F_F,0.01588126436215826
