Feature,Importance Mean,Importance Std
cont__MMSE,0.2666666666666667,0.0478079419754687
cont__nWBV,0.08581560283687949,0.03825187676641645
cont__Age,0.0411347517730497,0.021928545863461442
ord__SES,0.027659574468085146,0.018343995966493023
cont__ASF,0.02482269503546103,0.007929319069148202
cont__eTIV,0.024113475177305,0.011951985493867192
ord__Educ,0.015602836879432647,0.010895242195558326
cat__M/F_F,0.0120567375886525,0.010543311168311012
cat__M/F_M,0.0120567375886525,0.010543311168311012
